CustomerID,Age,AnnualIncome,SpendingScore,PurchaseFrequency
315,59,24533,21,4
316,47,83427,6,4
317,55,25278,13,4
318,46,92457,3,3
319,59,102658,8,3
320,62,22031,21,5
321,39,93549,12,2
322,57,21195,15,6
323,26,35591,77,24
324,47,97914,10,3
325,46,71678,59,11
326,33,51000,45,11
327,30,34373,82,20
328,49,57389,62,14
329,51,21506,14,1
330,52,18637,25,4
331,37,49559,56,12
332,32,97613,11,5
333,53,88047,8,4
334,50,81783,4,4
335,34,101599,92,24
336,41,120041,70,27
337,44,126517,13,3
338,27,31712,85,30
339,24,143362,85,30
340,55,18628,12,7
341,26,28629,75,20
342,32,115667,84,25
343,41,114145,88,30
344,57,98188,12,2
345,48,22118,28,5
346,22,114108,89,30
347,35,56614,51,19
348,51,26775,10,4
349,50,25095,14,4
350,41,135788,93,30
351,43,20021,10,6
352,48,20348,10,6
353,52,11612,17,4
354,65,27148,13,2
355,40,112760,90,26
356,43,63175,52,6
357,56,25427,21,5
358,20,57906,60,15
359,61,95823,5,3
360,70,22043,21,7
361,27,41410,79,13
362,26,18523,27,6
363,26,48465,78,22
364,43,62876,54,13
365,43,53906,50,9
366,38,56241,47,18
367,37,56105,56,16
368,49,22402,17,4
369,32,106474,86,25
370,39,110198,82,30
371,38,22192,8,6
372,41,26018,21,7
373,41,27522,27,5
374,34,120278,86,24
375,52,98469,5,3
376,36,109283,89,24
377,35,125850,93,27
378,23,41552,88,17
379,50,19224,13,1
380,44,111410,89,23
381,26,29610,86,25
382,44,124472,6,4
383,20,41468,94,24
384,27,42629,84,22
385,47,48333,58,6
386,49,20891,20,5
387,41,51070,57,8
388,28,34528,89,22
389,34,125244,10,3
390,49,15111,34,7
391,23,39748,77,17
392,48,87134,13,2
393,45,90124,9,4
394,51,97190,10,2
395,66,21451,31,7
396,48,24619,13,4
397,42,57085,44,14
398,45,108150,10,3
399,35,49156,56,15
400,41,26344,22,5
401,54,77443,3,5
402,45,19899,23,4
403,35,121826,7,3
404,52,102455,8,3
405,56,13261,30,4
406,27,31557,79,29
407,47,109704,4,4
408,33,101689,89,26
409,28,42169,74,21
410,54,108452,8,4
411,37,48600,41,13
412,32,92757,81,23
413,25,40508,85,22
414,54,16185,13,6
415,45,31183,14,6
416,28,29201,75,24
417,43,17373,2,1
418,29,43818,79,21
419,43,113965,100,30
420,42,68654,14,3
421,36,104877,8,4
422,38,99709,95,29
423,46,75030,13,4
424,27,30649,77,23
425,39,114018,1,2
426,46,52578,54,4
427,40,104157,5,2
428,32,123887,88,30
429,27,29556,85,18
430,60,104673,7,3
431,70,31346,23,6
432,24,42417,100,26
433,50,24391,16,2
434,63,95313,13,4
435,58,21129,12,9
436,33,99042,98,21
437,37,92772,95,23
438,31,41999,92,30
439,31,97414,86,30
440,49,90800,2,2
441,46,101605,6,3
442,28,126007,80,30
443,37,110583,84,30
444,34,100880,85,23
445,23,32776,73,21
446,47,99583,6,3
447,46,20632,10,7
448,27,31203,72,23
449,43,18576,11,7
450,20,40343,85,28
451,40,83293,5,3
452,31,62386,50,13
453,19,35744,84,23
454,30,63798,53,14
455,55,26426,12,4
456,46,24194,16,5
457,68,16947,26,4
458,32,130671,81,27
459,37,126878,96,25
460,41,58061,51,14
461,29,41924,89,30
462,39,59671,55,17
463,36,112864,96,28
464,44,98366,8,4
465,30,33229,71,24
466,45,53272,48,17
467,45,80156,12,4
468,61,18970,16,3
469,19,29814,73,16
470,39,57227,57,14
471,53,55905,47,14
472,39,113576,87,29
473,48,88861,13,2
474,56,117286,13,4
475,28,118645,83,27
476,28,42588,73,20
477,35,106047,95,28
478,29,105752,93,26
479,22,22708,77,24
480,49,115776,10,3
481,24,24887,88,17
482,29,108268,89,24
483,31,115067,100,28
484,46,100638,1,2
485,38,23500,13,5
486,51,53490,53,10
487,53,115820,11,2
488,21,35936,78,23
489,33,58007,54,9
490,61,55110,45,8
491,22,34662,74,26
492,37,100687,91,27
493,33,35738,71,18
494,36,107330,94,30
495,30,28693,73,17
496,34,118721,94,28
497,33,108881,95,30
498,58,26329,22,4
499,41,53079,54,14
500,38,45775,61,11
